,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol
258519,2019-11-12 00:00:00-05:00,HIG,61.65,2280016.0,67.86533825226316,61.71209622465036,61.23399999999994,60.755903775349516,0.6029875827820618,Financial Services,Hartford Financial Services Group Inc. (The),16400,New York Stock Exchange
259643,2019-11-12 00:00:00-05:00,HAS,94.4,1418492.0,27.037214897105454,95.95648463999453,95.10200000000006,94.2475153600056,0.7538110474309436,Consumer Cyclical,Hasbro Inc.,5400,Nasdaq Global Select
260767,2019-11-12 00:00:00-05:00,HCA,135.14,1142796.0,66.16081320372204,137.14678997818166,135.6780000000001,134.20921002181856,0.3927299745333275,Healthcare,HCA Healthcare Inc.,253000,New York Stock Exchange
263015,2019-11-12 00:00:00-05:00,HP,40.19,1777128.0,51.92484056347665,41.33895053085379,40.68200000000005,40.02504946914631,0.5778001750874244,Energy,Helmerich & Payne Inc.,7270,New York Stock Exchange
264139,2019-11-12 00:00:00-05:00,HSIC,67.88,887473.0,65.32199896576837,69.45209598202749,68.30599999999995,67.15990401797242,0.4205689957841037,Healthcare,Henry Schein Inc.,22000,Nasdaq Global Select
265263,2019-11-12 00:00:00-05:00,HSY,142.85,770179.0,39.9796010488392,142.99233971274077,141.53799999999998,140.0836602872592,0.6707270996761092,Consumer Defensive,The Hershey Company,16910,New York Stock Exchange
266387,2019-11-12 00:00:00-05:00,HES,71.81,4040842.0,64.2467723367315,74.00162144362581,71.16999999999997,68.33837855637414,0.6285916635500675,Energy,Hess Corporation,2075,New York Stock Exchange
267511,2019-11-12 00:00:00-05:00,HPE,17.34,9305891.0,76.67623225437245,17.653249266142947,17.270000000000007,16.886750733857067,1.2823901210244528,Technology,Hewlett Packard Enterprise Company,66000,New York Stock Exchange
268635,2019-11-12 00:00:00-05:00,HLT,98.09,1011008.0,58.17661594853385,99.90731393073082,98.76200000000006,97.61668606926929,0.8951614204391296,Consumer Cyclical,Hilton Worldwide Holdings Inc.,163000,New York Stock Exchange
269759,2019-11-12 00:00:00-05:00,HFC,53.44,2322394.0,45.61852278081197,54.96625803093976,53.974000000000046,52.98174196906033,0.8351773046447728,Energy,HollyFrontier Corporation,3522,New York Stock Exchange
270883,2019-11-12 00:00:00-05:00,HOLX,46.15,3306253.0,37.233753348146784,48.65256966490269,46.615999999999964,44.579430335097236,-0.43948392955965493,Healthcare,Hologic Inc.,6233,Nasdaq Global Select
272007,2019-11-12 00:00:00-05:00,HD,233.12,3447477.0,50.131681097435234,234.3524977843371,232.9420000000003,231.5315022156635,0.6372998066409304,Consumer Cyclical,Home Depot Inc. (The),413000,New York Stock Exchange
273131,2019-11-12 00:00:00-05:00,HON,182.01,2069223.0,72.53089651237278,182.4215559298456,180.90399999999983,179.38644407015406,0.622178251490413,Industrials,Honeywell International Inc.,131000,New York Stock Exchange
274255,2019-11-12 00:00:00-05:00,HRL,41.78,1484467.0,53.50318015858997,42.00085583485943,41.72000000000005,41.43914416514067,0.5865108104097847,Consumer Defensive,Hormel Foods Corporation,20400,New York Stock Exchange
275379,2019-11-12 00:00:00-05:00,HST,16.79,7587567.0,48.71024454200987,17.50785182644028,17.076,16.64414817355972,0.686975039019729,Real Estate,Host Hotels & Resorts Inc.,205,New York Stock Exchange
276503,2019-11-12 00:00:00-05:00,HPQ,19.53,21756336.0,70.49872764489434,19.693462533933843,19.530000000000012,19.36653746606618,0.39173186166063967,Technology,HP Inc.,49000,New York Stock Exchange
277627,2019-11-12 00:00:00-05:00,HUM,320.29,1158208.0,79.98035194409535,325.7740299849767,315.102,304.42997001502323,0.6179397655961318,Healthcare,Humana Inc.,45900,New York Stock Exchange
278751,2019-11-12 00:00:00-05:00,HBAN,14.91,4967409.0,64.07692095600146,15.00574950978578,14.942000000000018,14.878250490214256,1.003776019854332,Financial Services,Huntington Bancshares Incorporated,15772,Nasdaq Global Select
279875,2019-11-12 00:00:00-05:00,HII,253.96,358053.0,85.97131016174565,262.80337317636827,248.30199999999985,233.80062682363143,0.13750787116833457,Industrials,Huntington Ingalls Industries Inc.,39000,New York Stock Exchange
280999,2019-11-12 00:00:00-05:00,IEX,161.5,598252.0,54.415541821680215,161.81357096201666,160.3919999999999,158.97042903798317,0.31035334181744195,Industrials,IDEX Corporation,7167,New York Stock Exchange
282123,2019-11-12 00:00:00-05:00,IDXX,257.51,599318.0,39.87369950977768,265.77527029132096,257.9040000000002,250.03272970867948,0.08978715839116298,Healthcare,IDEXX Laboratories Inc.,7600,Nasdaq Global Select
283247,2019-11-12 00:00:00-05:00,INFO,69.26,2268949.0,51.990539973931924,69.94811110037965,69.37200000000007,68.7958888996205,0.8635818193586822,Industrials,IHS Markit Ltd.,13000,Nasdaq Global Select
284371,2019-11-12 00:00:00-05:00,ITW,174.77,1141937.0,66.35755018348017,178.07086607134156,176.0960000000001,174.12113392865862,0.173474922104181,Industrials,Illinois Tool Works Inc.,50000,New York Stock Exchange
285495,2019-11-12 00:00:00-05:00,ILMN,295.73,708199.0,46.2111760286534,297.8099798874216,295.3239999999998,292.83802011257796,1.6693050685531667,Healthcare,Illumina Inc.,6200,Nasdaq Global Select
286619,2019-11-12 00:00:00-05:00,IR,129.55,1135093.0,65.52019115669715,131.72200496278901,130.1099999999999,128.49799503721079,0.19294188105148083,Industrials,Ingersoll-Rand plc (Ireland),46000,New York Stock Exchange
287743,2019-11-12 00:00:00-05:00,INTC,58.2,13792810.0,74.1242647937951,58.62595488529531,58.09400000000004,57.562045114704766,0.6095014889771638,Technology,Intel Corporation,102700,Nasdaq Global Select
288867,2019-11-12 00:00:00-05:00,ICE,91.4,1983953.0,47.12611651758479,91.65685005559692,90.96000000000001,90.2631499444031,0.8582903084243871,Financial Services,Intercontinental Exchange Inc.,5042,New York Stock Exchange
289991,2019-11-12 00:00:00-05:00,IBM,135.59,3584130.0,44.67776435132893,139.61128163390723,137.02799999999996,134.4447183660927,0.9492115752105197,Technology,International Business Machines Corporation,397800,New York Stock Exchange
291115,2019-11-12 00:00:00-05:00,INCY,86.14,1038126.0,70.51078177211568,86.85386956159574,84.50800000000002,82.1621304384043,0.02234853737228861,Healthcare,Incyte Corporation,1208,Nasdaq Global Select
292239,2019-11-12 00:00:00-05:00,IP,46.22,2995411.0,72.86967120378652,46.560937759534546,45.84600000000001,45.131062240465475,0.9413588988485317,Consumer Cyclical,International Paper Company,56000,New York Stock Exchange
293363,2019-11-12 00:00:00-05:00,IPG,22.45,2086386.0,60.90535678128675,23.020653706380052,22.59200000000002,22.163346293619988,0.7031866762161709,Consumer Cyclical,Interpublic Group of Companies Inc. (The),50200,New York Stock Exchange
294487,2019-11-12 00:00:00-05:00,IFF,130.56,625726.0,64.33237427933388,134.42508441981542,132.20400000000004,129.98291558018465,0.07211596936131953,Basic Materials,Internationa Flavors & Fragrances Inc.,7300,New York Stock Exchange
295611,2019-11-12 00:00:00-05:00,INTU,259.98,1353954.0,49.406514077612314,262.1666309916486,257.52599999999967,252.88536900835072,0.4974772495183812,Technology,Intuit Inc.,8900,Nasdaq Global Select
296735,2019-11-12 00:00:00-05:00,ISRG,549.36,505858.0,52.94583456357627,556.111406341415,549.8319999999999,543.5525936585848,0.8007135610381727,Healthcare,Intuitive Surgical Inc.,4444,Nasdaq Global Select
297859,2019-11-12 00:00:00-05:00,IVZ,17.6,5088288.0,58.27596636444805,18.305283874625033,17.855999999999995,17.406716125374956,0.8927291815616543,Financial Services,Invesco Ltd,7410,New York Stock Exchange
298983,2019-11-12 00:00:00-05:00,IPGP,140.9,445353.0,51.59743198156984,151.63694323151748,145.49800000000027,139.35905676848307,1.289672608370887,Technology,IPG Photonics Corporation,5030,Nasdaq Global Select
300107,2019-11-12 00:00:00-05:00,IQV,142.94,1493773.0,47.02555960904437,143.51824587842506,139.38600000000028,135.2537541215755,0.525670868561182,Healthcare,IQVIA Holdings Inc.,55000,New York Stock Exchange
301231,2019-11-12 00:00:00-05:00,IRM,32.66,2058366.0,45.611483464098775,33.91414544253284,33.03399999999995,32.15385455746706,0.6357685100246276,Industrials,Iron Mountain Incorporated (Delaware)Common Stock REIT,24000,New York Stock Exchange
302355,2019-11-12 00:00:00-05:00,JKHY,147.31,492474.0,61.10326456027359,149.96095326748235,148.32399999999998,146.68704673251762,0.40717970159780936,Industrials,Jack Henry & Associates Inc.,6307,Nasdaq Global Select
303479,2019-11-12 00:00:00-05:00,JEC,95.21,910848.0,56.92129347051939,97.10469002641837,95.51599999999992,93.92730997358147,0.7291254720658685,Industrials,Jacobs Engineering Group Inc.,54700,New York Stock Exchange
304603,2019-11-12 00:00:00-05:00,JBHT,118.53,591926.0,57.83529850825049,121.30012930585232,119.44400000000003,117.58787069414774,0.5999428863660144,Industrials,J.B. Hunt Transport Services Inc.,24681,Nasdaq Global Select
